Type	Checked?	Remedy	Position	Validation error	Text of example
E	Y	"Change ""upperCase"" value of w:numFmt attribute to ""upperRoman"" or ""upperLetter"""	2.15.1.16 example 2	" cvc-enumeration-valid: Value 'upperCase' is not facet-valid with respect to enumeration '[decimal, upperRoman, lowerRoman, upperLetter, lowerLetter, ordinal, cardinalText, ordinalText, hex, chicago, ideographDigital, japaneseCounting, aiueo, iroha, decimalFullWidth, decimalHalfWidth, japaneseLegal, japaneseDigitalTenThousand, decimalEnclosedCircle, decimalFullWidth2, aiueoFullWidth, irohaFullWidth, decimalZero, bullet, ganada, chosung, decimalEnclosedFullstop, decimalEnclosedParen, decimalEnclosedCircleChinese, ideographEnclosedCircle, ideographTraditional, ideographZodiac, ideographZodiacTraditional, taiwaneseCounting, ideographLegalTraditional, taiwaneseCountingThousand, taiwaneseDigital, chineseCounting, chineseLegalSimplified, chineseCountingThousand, koreanDigital, koreanCounting, koreanLegal, koreanDigital2, vietnameseCounting, russianLower, russianUpper, none, numberInDash, hebrew1, hebrew2, arabicAlpha, arabicAbjad, hindiVowels, hindiConsonants, hindiNumbers, hindiCounting, thaiLetters, thaiNumbers, thaiCounting]'. It must be a value from the enumeration. ::: "	" <w:caption w:name=""Table"" w:pos=""below"" w:chapNum=""true"" w:heading=""2"" w:numFmt=""upperCase"" w:sep=""8212"" />  "
E	Y	"Change ""On"" value of attribute w:chapNum to ""on"""	2.15.1.16 example 3	" cvc-enumeration-valid: Value 'On' is not facet-valid with respect to enumeration '[true, false, on, off, 0, 1]'. It must be a value from the enumeration. ::: "	" <w:caption w:name=""Table"" w:pos=""below"" w:chapNum=""On"""
E			2.15.1.16 example 8	" cvc-enumeration-valid: Value 'On' is not facet-valid with respect to enumeration '[true, false, on, off, 0, 1]'. It must be a value from the enumeration. ::: "	" <w:caption w:name=""Table"" w:pos=""below"" w:chapNum=""On"""
E			2.15.1.17 example 2	" cvc-enumeration-valid: Value 'On' is not facet-valid with respect to enumeration '[true, false, on, off, 0, 1]'. It must be a value from the enumeration. ::: "	" <w:caption w:name=""Table"" w:pos=""below"" w:chapNum=""On"" w:heading=""2"" w:numFmt=""upperCase"" w:sep=""8212"" />  "
E			2.15.1.18 example 1	" cvc-enumeration-valid: Value 'dontCompress' is not facet-valid with respect to enumeration '[doNotCompress, compressPunctuation, compressPunctuationAndJapaneseKana]'. It must be a value from the enumeration. ::: "	" <w:characterSpacingControl w:val=""dontCompress"" /> "
?			2.15.1.28 example 15	"Code is not well-formed XML : org.dom4j.DocumentException: Error on line 2 of document  : Element type ""w:locked"" must be followed by either attribute specifications, "">"" or ""/>"". Nested exception: Element type ""w:locked"" must be followed by either attribute specifications, "">"" or ""/>""."	" <w:style w:type=""paragraph"""
T			2.15.1.35 example 1	Code is using curly quotes: continuing	"<w:doNotEmbedSmartTags w:val=""true""    xmlns:ve=""http://schemas.openxmlformats.org/markup-compatibility/2006""    xmlns:o=""urn:schemas-microsoft-com:office:office""    xmlns:r=""http://schemas.openxmlformats.org/officeDocument/2006/relationships""    xmlns:m=""http://schemas.openxmlformats.org/officeDocument/2006/math""    xmlns:v=""urn:schemas-microsoft-com:vml""    xmlns:wp=""http://schemas.openxmlformats.org/drawingml/2006/wordprocessingDrawing""    xmlns:w10=""urn:schemas-microsoft-com:office:word""    xmlns:w=""http://schemas.openxmlformats.org/wordprocessingml/2006/main""    xmlns:cp=""http://schemas.openxmlformats.org/package/2006/metadata/core-properties""    xmlns:dc=""http://purl.org/dc/elements/1.1/"" xmlns:dcterms=""http://purl.org/dc/terms/""    xmlns:dcmitype=""http://purl.org/dc/dcmitype/""    xmlns:xsd=""http://www.w3.org/2001/XMLSchema""    xmlns:vt=""http://schemas.openxmlformats.org/officeDocument/2006/docPropsVTypes""    xmlns:xdr=""http://schemas.openxmlformats.org/drawingml/2006/spreadsheetDrawing""    xmlns:p=""http://schemas.openxmlformats.org/presentationml/2006/main""    xmlns:a=""http://schemas.openxmlformats.org/drawingml/2006/main""    xmlns:cdr=""http://schemas.openxmlformats.org/drawingml/2006/chartDrawing""    xmlns:s=""http://schemas.openxmlformats.org/spreadsheetml/2006/main""    xmlns:x=""temp""    xmlns:b=""temp""    xmlns:c=""temp""    xmlns:oxsd=""temp""    xmlns:wne=""http://schemas.microsoft.com/office/word/2006/wordml"" />"
T			2.15.1.35 example 2	"The element type ""w:t"" must be terminated by the matching end-tag ""</w:t>"". Nested exception: The element type ""w:t"" must be terminated by the matching end-tag ""</w:t>""."	" <w:p>  <w:r>    <w:t xml:space=""preserve"">Hello</w:t>  </w:r>  <w:smartTag … >    <w:r>      <w:t>world<w:t>    </w:r>  </w:smartTag></w:p> "
T			2.15.1.39 example 2	"The element type ""w:rPrChange"" must be terminated by the matching end-tag ""</w:rPrChange>"". Nested exception: The element type ""w:rPrChange"" must be terminated by the matching end-tag ""</w:rPrChange>""."	 <w:document>  <w:body>    <w:p>      <w:r>        <w:t>Example</w:t>      </w:r>      <w:ins … >        <w:r>          <w:rPr>            <w:b/>            <w:rPrChange … >              <w:rPr/>            <w:rPrChange>          </w:rPr>          <w:t>text</w:t>        </w:r>      </w:ins>    </w:p>  </w:body></w:document> 
E			2.15.1.47 example 1	 cvc-complex-type.3.2.2: Attribute 'w:val' is not allowed to appear in element 'w:forceUpgrade'. ::: 	" <w:forceUpgrade w:val=""true""/>  "
E			2.15.1.6 example 1	cvc-complex-type.3.2.2: Attribute 'w:val' is not allowed to appear in element 'w:attachedTemplate'. ::: 	"   <w:attachedTemplate w:val=""c:\template.dotx"" /> "
?			2.15.1.64 example 1	 cvc-complex-type.4: Attribute 'header' must appear on element 'w:pgMar'. ::: 	" <w:pgMar w:top=""2160"" w:right=""1440"" w:bottom=""1440"" w:left=""1440"""
E			2.15.1.7 example 1	" cvc-enumeration-valid: Value 'On' is not facet-valid with respect to enumeration '[true, false, on, off, 0, 1]'. It must be a value from the enumeration. ::: "	" <w:captions>  <w:caption w:name=""Table"" w:pos=""below"" w:chapNum=""On"" w:heading=""2"" w:numFmt=""upperCase"" w:sep=""8212"" />  <w:autoCaptions>    <w:autoCaption w:name=""wfwTable"" w:caption=""Table"" />  </w:autoCaptions></w:captions> "
T			2.15.1.77 example 1	Code is using curly quotes: continuing	"<w:saveXmlDataOnly w:val=""true""    xmlns:ve=""http://schemas.openxmlformats.org/markup-compatibility/2006""    xmlns:o=""urn:schemas-microsoft-com:office:office""    xmlns:r=""http://schemas.openxmlformats.org/officeDocument/2006/relationships""    xmlns:m=""http://schemas.openxmlformats.org/officeDocument/2006/math""    xmlns:v=""urn:schemas-microsoft-com:vml""    xmlns:wp=""http://schemas.openxmlformats.org/drawingml/2006/wordprocessingDrawing""    xmlns:w10=""urn:schemas-microsoft-com:office:word""    xmlns:w=""http://schemas.openxmlformats.org/wordprocessingml/2006/main""    xmlns:cp=""http://schemas.openxmlformats.org/package/2006/metadata/core-properties""    xmlns:dc=""http://purl.org/dc/elements/1.1/"" xmlns:dcterms=""http://purl.org/dc/terms/""    xmlns:dcmitype=""http://purl.org/dc/dcmitype/""    xmlns:xsd=""http://www.w3.org/2001/XMLSchema""    xmlns:vt=""http://schemas.openxmlformats.org/officeDocument/2006/docPropsVTypes""    xmlns:xdr=""http://schemas.openxmlformats.org/drawingml/2006/spreadsheetDrawing""    xmlns:p=""http://schemas.openxmlformats.org/presentationml/2006/main""    xmlns:a=""http://schemas.openxmlformats.org/drawingml/2006/main""    xmlns:cdr=""http://schemas.openxmlformats.org/drawingml/2006/chartDrawing""    xmlns:s=""http://schemas.openxmlformats.org/spreadsheetml/2006/main""    xmlns:x=""temp""    xmlns:b=""temp""    xmlns:c=""temp""    xmlns:oxsd=""temp""    xmlns:wne=""http://schemas.microsoft.com/office/word/2006/wordml"" />"
T			2.15.1.77 example 2	"The element type ""w:t"" must be terminated by the matching end-tag ""</w:t>"". Nested exception: The element type ""w:t"" must be terminated by the matching end-tag ""</w:t>""."	" <w:body>  <w:p>    <w:customXml w:element=""root"" w:namespaceuri=""urn:example"">      <w:r>        <w:t>Hello world<w:t>      </w:r>    </w:customXml>  </w:p></w:body> "
E			2.15.1.78 example 1	" cvc-enumeration-valid: Value 'dontCompress' is not facet-valid with respect to enumeration '[doNotCompress, compressPunctuation, compressPunctuationAndJapaneseKana]'. It must be a value from the enumeration. ::: "	" <w:settings>  <w:defaultTabStop w:val=""720"" />  <w:characterSpacingControl w:val=""dontCompress"" /></w:settings> "
E			2.15.1.8 example 1	" cvc-enumeration-valid: Value 'On' is not facet-valid with respect to enumeration '[true, false, on, off, 0, 1]'. It must be a value from the enumeration. ::: "	" <w:captions>  <w:caption w:name=""Table"" w:pos=""below"" w:chapNum=""On"" w:heading=""2"" w:numFmt=""upperCase"" w:sep=""8212"" />  <w:autoCaptions>    <w:autoCaption w:name=""wfwTable"" w:caption=""Table"" />  </w:autoCaptions></w:captions> "
?			2.15.1.82 example 1	Code is not well-formed XML : org.dom4j.DocumentException: Error on line 3 of document  : XML document structures must start and end within the same entity. Nested exception: XML document structures must start and end within the same entity.	" <w:smartTagType w:name=""companyName"""
?			2.15.1.82 example 2	XML document structures must start and end within the same entity. Nested exception: XML document structures must start and end within the same entity.	" <w:smartTagType w:name=""companyName"" … > "
T			2.15.1.90 example 5	"The element type ""w:rPrChange"" must be terminated by the matching end-tag ""</w:rPrChange>"". Nested exception: The element type ""w:rPrChange"" must be terminated by the matching end-tag ""</w:rPrChange>""."	 <w:document>  <w:body>    <w:p>      <w:r>        <w:t>Example</w:t>      </w:r>      <w:ins … >        <w:r>          <w:rPr>            <w:b/>            <w:rPrChange … >              <w:rPr/>            <w:rPrChange>          </w:rPr>          <w:t>text</w:t>        </w:r>      </w:ins>    </w:p>  </w:body></w:document> 
E			2.15.2.17 example 2	" cvc-complex-type.2.4.a: Invalid content was found starting with element 'w:frameLayout'. One of '{""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":sz, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":name, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":sourceFileName, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":marW, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":marH, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":scrollbar, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":noResizeAllowed, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":linkedToFile}' is expected. ::: "	" <w:frame>  <w:frameLayout w:val=""cols"" />  …</w:frame> "
E			2.15.2.21 example 2	" cvc-complex-type.2.4.a: Invalid content was found starting with element 'w:divBdr'. One of '{""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":blockQuote, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":bodyDiv, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":marLeft}' is expected. ::: "	" <w:divs>  <w:div w:id=""1785730240"">    <w:divBdr>      <w:top w:val=""dashed"" w:sz=""18"" w:space=""7"" w:color=""auto"" />      <w:left w:val=""single"" w:sz=""24"" w:space=""4"" w:color=""auto"" />      <w:bottom w:val=""outset"" w:sz=""18"" w:color=""auto"" />      <w:right w:val=""threeDEngrave"" w:sz=""6"" w:color=""auto"" />    </w:divBdr>  </w:div></w:divs> "
T			2.15.2.21 example 6	"The value of attribute ""w:space"" associated with an element type ""null"" must not contain the '<' character. Nested exception: The value of attribute ""w:space"" associated with an element type ""null"" must not contain the '<' character."	" <w:pgBorders w:offsetFrom=""page"">    <w:bottom … w:space=""24/>   </w:pgBorders "
E			2.15.2.32 example 1	" cvc-complex-type.2.4.a: Invalid content was found starting with element 'w:relyOnVML'. One of '{""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":doNotRelyOnCSS, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":doNotSaveAsSingleFile, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":doNotOrganizeInFolder, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":doNotUseLongFileNames, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":pixelsPerInch, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":targetScreenSz, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":saveSmartTagsAsXml}' is expected. ::: "	" <w:webSettings>  …  <w:optimizeForBrowser />  <w:allowPNG w:val=""on""/>  <w:relyOnVML w:val=""on""/>  </w:webSettings> "
E			2.15.2.35 example 2	" cvc-complex-type.2.4.a: Invalid content was found starting with element 'w:divBdr'. One of '{""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":blockQuote, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":bodyDiv, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":marLeft}' is expected. ::: "	" <w:divs>  <w:div w:id=""1785730240"">    <w:divBdr>      <w:top w:val=""dashed"" w:sz=""18"" w:space=""7"" w:color=""auto"" />      <w:left w:val=""single"" w:sz=""24"" w:space=""4"" w:color=""auto"" />      <w:bottom w:val=""outset"" w:sz=""18"" w:color=""auto"" />      <w:right w:val=""threeDEngrave"" w:sz=""6"" w:color=""auto"" />    </w:divBdr>  </w:div></w:divs> "
T			2.15.2.35 example 6	"The value of attribute ""w:space"" associated with an element type ""null"" must not contain the '<' character. Nested exception: The value of attribute ""w:space"" associated with an element type ""null"" must not contain the '<' character."	" <w:pgBorders w:offsetFrom=""page"">    <w:bottom … w:space=""24/>   </w:pgBorders "
?			2.15.2.36 example 1	"The prefix ""st1"" for element ""st1:stockticker"" is not bound. Nested exception: The prefix ""st1"" for element ""st1:stockticker"" is not bound."	" <p>Stock symbol: <st1:stockticker>MSFT</st1:stockticker></p>  <p>Date: <st1:date ls=""trans"" Month=""7"" Day=""4"""
?			2.15.2.36 example 3	"The prefix ""st1"" for element ""st1:stockticker"" is not bound. Nested exception: The prefix ""st1"" for element ""st1:stockticker"" is not bound."	" <head>  …    <xml>    <o:DocumentSmartTags>        <st1:stockticker>MSFT</st1:stockticker>        <st1:date ls=""trans"" Month=""7"" Day=""4"" Year=""2006"">7/4/2006</st1:date>      </o:DocumentSmartTags>    </xml>  …</head> "
E			2.15.2.4 example 2	" cvc-complex-type.2.4.a: Invalid content was found starting with element 'w:divBdr'. One of '{""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":blockQuote, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":bodyDiv, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":marLeft}' is expected. ::: "	" <w:divs>  <w:div w:id=""1785730240"">    <w:divBdr>      <w:top w:val=""dashed"" w:sz=""18"" w:space=""7"" w:color=""auto"" />      <w:left w:val=""single"" w:sz=""24"" w:space=""4"" w:color=""auto"" />      <w:bottom w:val=""outset"" w:sz=""18"" w:color=""auto"" />      <w:right w:val=""threeDEngrave"" w:sz=""6"" w:color=""auto"" />    </w:divBdr>  </w:div></w:divs> "
T			2.15.2.4 example 6	"The value of attribute ""w:space"" associated with an element type ""null"" must not contain the '<' character. Nested exception: The value of attribute ""w:space"" associated with an element type ""null"" must not contain the '<' character."	" <w:pgBorders w:offsetFrom=""page"">    <w:bottom … w:space=""24/>   </w:pgBorders "
E			2.15.2.42 example 2	" cvc-complex-type.2.4.a: Invalid content was found starting with element 'w:divBdr'. One of '{""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":blockQuote, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":bodyDiv, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":marLeft}' is expected. ::: "	" <w:divs>  <w:div w:id=""1785730240"">    <w:divBdr>      <w:top w:val=""dashed"" w:sz=""18"" w:space=""7"" w:color=""auto"" />      <w:left w:val=""single"" w:sz=""24"" w:space=""4"" w:color=""auto"" />      <w:bottom w:val=""outset"" w:sz=""18"" w:color=""auto"" />      <w:right w:val=""threeDEngrave"" w:sz=""6"" w:color=""auto"" />    </w:divBdr>  </w:div></w:divs> "
T			2.15.2.42 example 6	"The value of attribute ""w:space"" associated with an element type ""null"" must not contain the '<' character. Nested exception: The value of attribute ""w:space"" associated with an element type ""null"" must not contain the '<' character."	" <w:pgBorders w:offsetFrom=""page"">    <w:bottom … w:space=""24/>   </w:pgBorders "
T			2.15.2.5 example 2	Code is using curly quotes: continuing	"<w:rPr    xmlns:ve=""http://schemas.openxmlformats.org/markup-compatibility/2006""    xmlns:o=""urn:schemas-microsoft-com:office:office""    xmlns:r=""http://schemas.openxmlformats.org/officeDocument/2006/relationships""    xmlns:m=""http://schemas.openxmlformats.org/officeDocument/2006/math""    xmlns:v=""urn:schemas-microsoft-com:vml""    xmlns:wp=""http://schemas.openxmlformats.org/drawingml/2006/wordprocessingDrawing""    xmlns:w10=""urn:schemas-microsoft-com:office:word""    xmlns:w=""http://schemas.openxmlformats.org/wordprocessingml/2006/main""    xmlns:cp=""http://schemas.openxmlformats.org/package/2006/metadata/core-properties""    xmlns:dc=""http://purl.org/dc/elements/1.1/"" xmlns:dcterms=""http://purl.org/dc/terms/""    xmlns:dcmitype=""http://purl.org/dc/dcmitype/""    xmlns:xsd=""http://www.w3.org/2001/XMLSchema""    xmlns:vt=""http://schemas.openxmlformats.org/officeDocument/2006/docPropsVTypes""    xmlns:xdr=""http://schemas.openxmlformats.org/drawingml/2006/spreadsheetDrawing""    xmlns:p=""http://schemas.openxmlformats.org/presentationml/2006/main""    xmlns:a=""http://schemas.openxmlformats.org/drawingml/2006/main""    xmlns:cdr=""http://schemas.openxmlformats.org/drawingml/2006/chartDrawing""    xmlns:s=""http://schemas.openxmlformats.org/spreadsheetml/2006/main""    xmlns:x=""temp""    xmlns:b=""temp""    xmlns:c=""temp""    xmlns:oxsd=""temp""    xmlns:wne=""http://schemas.microsoft.com/office/word/2006/wordml"" ><w:color w:themeColor=""accent3"" /></w:rPr>"
